seller_id,year_buy,month_buy,avg(price)
0015a82c2db000af6aaaf3ae2ecb0532,2017,9,895
0015a82c2db000af6aaaf3ae2ecb0532,2017,10,895
001cca7ae9ae17fb1caed9dfb1094831,2017,2,99.9000015258789
001cca7ae9ae17fb1caed9dfb1094831,2017,3,98.62941113640281
001cca7ae9ae17fb1caed9dfb1094831,2017,4,115.44999980926514
001cca7ae9ae17fb1caed9dfb1094831,2017,5,102.77740732828777
001cca7ae9ae17fb1caed9dfb1094831,2017,6,100.10826077668563
001cca7ae9ae17fb1caed9dfb1094831,2017,7,99.35799957275391
001cca7ae9ae17fb1caed9dfb1094831,2017,8,103.66666666666667
001cca7ae9ae17fb1caed9dfb1094831,2017,9,107.125
001cca7ae9ae17fb1caed9dfb1094831,2017,10,105.04
001cca7ae9ae17fb1caed9dfb1094831,2017,11,101.6
001cca7ae9ae17fb1caed9dfb1094831,2017,12,102.3076923076923
001cca7ae9ae17fb1caed9dfb1094831,2018,1,114.25
001cca7ae9ae17fb1caed9dfb1094831,2018,2,110.33333333333333
001cca7ae9ae17fb1caed9dfb1094831,2018,3,118.58999938964844
001cca7ae9ae17fb1caed9dfb1094831,2018,4,128
001cca7ae9ae17fb1caed9dfb1094831,2018,6,120.5
001cca7ae9ae17fb1caed9dfb1094831,2018,7,129.89999389648438
001e6ad469a905060d959994f1b41e4f,2018,8,250
002100f778ceb8431b7a1020ff7ab48f,2017,9,11.899999618530273
002100f778ceb8431b7a1020ff7ab48f,2017,10,17.44545416398482
002100f778ceb8431b7a1020ff7ab48f,2017,11,23.06666660308838
002100f778ceb8431b7a1020ff7ab48f,2017,12,17.712499618530273
002100f778ceb8431b7a1020ff7ab48f,2018,1,25.900000254313152
002100f778ceb8431b7a1020ff7ab48f,2018,2,47.3999981880188
002100f778ceb8431b7a1020ff7ab48f,2018,3,19.233332951863606
002100f778ceb8431b7a1020ff7ab48f,2018,4,54.90000057220459
003554e2dce176b5555353e4f3555ac8,2017,12,120
004c9cd9d87a3c30c522c48c4fc07416,2017,1,119.99000040690105
004c9cd9d87a3c30c522c48c4fc07416,2017,2,136.22399978637696
004c9cd9d87a3c30c522c48c4fc07416,2017,3,119.87888717651367
004c9cd9d87a3c30c522c48c4fc07416,2017,4,126.35636485706677
004c9cd9d87a3c30c522c48c4fc07416,2017,5,105.78999938964844
004c9cd9d87a3c30c522c48c4fc07416,2017,6,133.89000091552734
004c9cd9d87a3c30c522c48c4fc07416,2017,7,97.2015380859375
004c9cd9d87a3c30c522c48c4fc07416,2017,8,120.63545608520508
004c9cd9d87a3c30c522c48c4fc07416,2017,9,85.21466649373373
004c9cd9d87a3c30c522c48c4fc07416,2017,10,113.30833307902019
004c9cd9d87a3c30c522c48c4fc07416,2017,11,116.41111077202692
004c9cd9d87a3c30c522c48c4fc07416,2017,12,105.7546146099384
004c9cd9d87a3c30c522c48c4fc07416,2018,1,138.76999759674072
004c9cd9d87a3c30c522c48c4fc07416,2018,2,131.7300033569336
004c9cd9d87a3c30c522c48c4fc07416,2018,3,82.45749950408936
004c9cd9d87a3c30c522c48c4fc07416,2018,4,125.39000129699707
004c9cd9d87a3c30c522c48c4fc07416,2018,5,174.75
00720abe85ba0859807595bbf045a33b,2018,1,78
00720abe85ba0859807595bbf045a33b,2018,2,78
00720abe85ba0859807595bbf045a33b,2018,3,13.5
00720abe85ba0859807595bbf045a33b,2018,4,25.28333346048991
00720abe85ba0859807595bbf045a33b,2018,5,53.920000076293945
00720abe85ba0859807595bbf045a33b,2018,6,14.700000127156576
00720abe85ba0859807595bbf045a33b,2018,7,78
00720abe85ba0859807595bbf045a33b,2018,8,132
00ab3eff1b5192e5f1a63bcecfee11c8,2017,3,98
00d8b143d12632bad99c0ad66ad52825,2018,3,86
00ee68308b45bc5e2660cd833c3f81cc,2017,9,80
00ee68308b45bc5e2660cd833c3f81cc,2017,10,92.36363636363636
00ee68308b45bc5e2660cd833c3f81cc,2017,11,102.05882352941177
00ee68308b45bc5e2660cd833c3f81cc,2017,12,93.52631578947368
00ee68308b45bc5e2660cd833c3f81cc,2018,1,107.11475409836065
00ee68308b45bc5e2660cd833c3f81cc,2018,2,167.4
00ee68308b45bc5e2660cd833c3f81cc,2018,3,141.47368421052633
00ee68308b45bc5e2660cd833c3f81cc,2018,4,165.14285714285714
00ee68308b45bc5e2660cd833c3f81cc,2018,5,79
00ee68308b45bc5e2660cd833c3f81cc,2018,6,53.5
00ee68308b45bc5e2660cd833c3f81cc,2018,7,119
00ee68308b45bc5e2660cd833c3f81cc,2018,8,99
00fc707aaaad2d31347cf883cd2dfe10,2018,1,86.80000305175781
00fc707aaaad2d31347cf883cd2dfe10,2018,2,91.81224511594189
00fc707aaaad2d31347cf883cd2dfe10,2018,3,92.23500022888183
00fc707aaaad2d31347cf883cd2dfe10,2018,4,108.7090897993608
00fc707aaaad2d31347cf883cd2dfe10,2018,5,190
00fc707aaaad2d31347cf883cd2dfe10,2018,6,98.19999694824219
010543a62bd80aa422851e79a3bc7540,2017,7,708
010543a62bd80aa422851e79a3bc7540,2017,8,708
010da0602d7774602cd1b3f5fb7b709e,2018,6,169.89999389648438
011b0eaba87386a2ae96a7d32bb531d1,2016,10,49.9900016784668
01266d4c46afa519678d16a8b683d325,2018,8,30.083333651224773
013900e863eace745d3ec7614cab5b1a,2017,3,73
013900e863eace745d3ec7614cab5b1a,2017,8,54
013900e863eace745d3ec7614cab5b1a,2017,11,60.39999961853027
013900e863eace745d3ec7614cab5b1a,2017,12,56.64999961853027
013900e863eace745d3ec7614cab5b1a,2018,1,55.5
013900e863eace745d3ec7614cab5b1a,2018,2,64.58333333333333
013900e863eace745d3ec7614cab5b1a,2018,4,93
014c0679dd340a0e338872e7ec85666a,2017,1,110
014c0679dd340a0e338872e7ec85666a,2017,2,110
014c0679dd340a0e338872e7ec85666a,2017,4,594
014c0679dd340a0e338872e7ec85666a,2017,5,594
014c0679dd340a0e338872e7ec85666a,2017,9,589
014c0679dd340a0e338872e7ec85666a,2017,11,175
014c0679dd340a0e338872e7ec85666a,2017,12,400
014c0679dd340a0e338872e7ec85666a,2018,1,435
014c0679dd340a0e338872e7ec85666a,2018,2,1320
014c0679dd340a0e338872e7ec85666a,2018,3,564.3333333333334
014c0679dd340a0e338872e7ec85666a,2018,4,358
014c0679dd340a0e338872e7ec85666a,2018,7,340
014d9a685fd57276679edd00e07089e5,2017,11,69.98999786376953
014d9a685fd57276679edd00e07089e5,2018,1,69.98999786376953
014d9a685fd57276679edd00e07089e5,2018,3,54.49000072479248
014d9a685fd57276679edd00e07089e5,2018,4,43.9900016784668
014d9a685fd57276679edd00e07089e5,2018,8,79.98999786376953
0176f73cc1195f367f7b32db1e5b3aa8,2017,11,184.89999389648438
0176f73cc1195f367f7b32db1e5b3aa8,2017,12,189.89999389648438
0176f73cc1195f367f7b32db1e5b3aa8,2018,1,145.89999643961588
0176f73cc1195f367f7b32db1e5b3aa8,2018,2,91.4000015258789
0176f73cc1195f367f7b32db1e5b3aa8,2018,3,70.9000015258789
0176f73cc1195f367f7b32db1e5b3aa8,2018,4,93.9000015258789
0176f73cc1195f367f7b32db1e5b3aa8,2018,5,129.23333231608072
0176f73cc1195f367f7b32db1e5b3aa8,2018,6,127.39999580383301
0176f73cc1195f367f7b32db1e5b3aa8,2018,7,111.32856968470982
0176f73cc1195f367f7b32db1e5b3aa8,2018,8,139.89999389648438
01bcc9d254a0143f0ce9791b960b2a47,2017,8,117.79000091552734
01bcc9d254a0143f0ce9791b960b2a47,2017,9,134.15399932861328
01bcc9d254a0143f0ce9791b960b2a47,2017,10,148.46666463216147
01bcc9d254a0143f0ce9791b960b2a47,2018,1,121.3499984741211
01bcc9d254a0143f0ce9791b960b2a47,2018,2,165.89999389648438
01c97ebb5cdac52891c0ed1c37ba0012,2017,4,29.399999618530273
01c97ebb5cdac52891c0ed1c37ba0012,2017,7,29.399999618530273
01c97ebb5cdac52891c0ed1c37ba0012,2017,8,29.399999618530273
01c97ebb5cdac52891c0ed1c37ba0012,2017,11,29.399999618530273
01c97ebb5cdac52891c0ed1c37ba0012,2018,3,65.23999977111816
01c97ebb5cdac52891c0ed1c37ba0012,2018,7,74.9000015258789
01cf7e3d21494c41fb86034f2e714fa1,2016,10,69.9000015258789
01cf7e3d21494c41fb86034f2e714fa1,2017,1,163.46666463216147
01cf7e3d21494c41fb86034f2e714fa1,2017,2,77.33333587646484
01cf7e3d21494c41fb86034f2e714fa1,2017,3,86.72571345738002
01cf7e3d21494c41fb86034f2e714fa1,2017,4,170.31454398415306
01cf7e3d21494c41fb86034f2e714fa1,2017,5,415.66334025065106
01cf7e3d21494c41fb86034f2e714fa1,2017,6,89.9000015258789
01cf7e3d21494c41fb86034f2e714fa1,2017,7,97.06666819254558
01cf7e3d21494c41fb86034f2e714fa1,2017,8,164.67727383700284
01cf7e3d21494c41fb86034f2e714fa1,2018,2,209.17999877929688
01ed254b9ff8407dfb9d99ba1e17d923,2017,8,339
01ed254b9ff8407dfb9d99ba1e17d923,2017,9,339
01ed254b9ff8407dfb9d99ba1e17d923,2017,10,349
01ed254b9ff8407dfb9d99ba1e17d923,2017,11,99.98999786376953
01fd077212124329bac32490e8ef80d9,2018,4,28.285714285714285
01fd077212124329bac32490e8ef80d9,2018,5,22.77777777777778
01fd077212124329bac32490e8ef80d9,2018,6,23
01fd077212124329bac32490e8ef80d9,2018,7,38
01fd077212124329bac32490e8ef80d9,2018,8,36.15384615384615
01fdefa7697d26ad920e9e0346d4bd1b,2017,4,64.9000015258789
01fdefa7697d26ad920e9e0346d4bd1b,2017,5,86.69500064849854
01fdefa7697d26ad920e9e0346d4bd1b,2017,6,73.31800079345703
01fdefa7697d26ad920e9e0346d4bd1b,2017,7,136.1370002746582
01fdefa7697d26ad920e9e0346d4bd1b,2017,8,135.67375087738037
01fdefa7697d26ad920e9e0346d4bd1b,2017,9,132.91666793823242
01fdefa7697d26ad920e9e0346d4bd1b,2017,10,101.0511114332411
01fdefa7697d26ad920e9e0346d4bd1b,2017,11,129.951111263699
01fdefa7697d26ad920e9e0346d4bd1b,2017,12,132.89466756184896
01fdefa7697d26ad920e9e0346d4bd1b,2018,1,128.90769371619592
01fdefa7697d26ad920e9e0346d4bd1b,2018,2,111.1857158115932
01fdefa7697d26ad920e9e0346d4bd1b,2018,3,103.7000015258789
01fdefa7697d26ad920e9e0346d4bd1b,2018,4,97.42250061035156
01fdefa7697d26ad920e9e0346d4bd1b,2018,5,106.93333435058594
01fdefa7697d26ad920e9e0346d4bd1b,2018,6,89.9000015258789
01fdefa7697d26ad920e9e0346d4bd1b,2018,7,86.32857295445034
01fdefa7697d26ad920e9e0346d4bd1b,2018,8,107.0511770809398
0241d4d5d36f10f80c644447315af0bd,2017,10,61.95000076293945
0241d4d5d36f10f80c644447315af0bd,2017,11,50.215384850135216
0241d4d5d36f10f80c644447315af0bd,2017,12,66.49166790644328
